Name,SMILES,MW
"2,2',3,4,4',5,5',6-octachlorodiphenyl ether",O(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(cc(c(c2)Cl)Cl)Cl,445.771
trans-gamma-chlordane,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,409.782
miconazole,c1cc(c(cc1Cl)Cl)COC(Cn2ccnc2)c3ccc(cc3Cl)Cl,416.135
"2,2',3,3',4,4',5,5'-octachlorodiphenyl ether",O(c1c(c(c(c(c1)Cl)Cl)Cl)Cl)c2c(c(c(c(c2)Cl)Cl)Cl)Cl,445.771
ethyl biscoumacetate,O2c1c(cccc1)C(=C(C2=O)C(C4=C(c3c(cccc3)OC4=O)O)C(=O)OCC)O,408.362
b-endosulfan,ClC3(Cl)[C@@]1(Cl)C(/Cl)=C(/Cl)[C@]3(Cl)[C@H]2COS(=O)OC[C@@H]12,406.929
"N-[2,2,2-trichloro-1-[4-(2,2,2-trichloro-1-formamidoethyl)piperazin-1-yl]ethyl]formamide",ClC(Cl)(Cl)C(N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl)NC=O,434.966
"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",c31c(c(c(c(c1Cl)Cl)Cl)Cl)Oc2c(c(c(c(c2)Cl)Cl)Cl)O3,425.309
"[cyano-[4-fluoro-3-(phenoxy)phenyl]methyl] 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",Fc1c(cc(cc1)C(OC(=O)C2C(C2C=C(Cl)Cl)(C)C)C#N)Oc3ccccc3,434.294
cefaloridine,N1(C=CC=C=C1)CC2=C(N3C(SC2)C(C3=O)NC(=O)Cc4sccc4)C(=O)O,415.496
diltiazem,O=C2N(c3c(S[C@@H](c1ccc(OC)cc1)[C@H]2OC(=O)C)cccc3)CCN(C)C,414.527
puerarin,O=C2c3c(O/C=C2/c1ccc(O)cc1)c(c(O)cc3)[C@@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)CO,416.382
lovastatin,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,404.547
dinonyl phthalate,CCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCC,418.618
"2,2',3,3',4,4',5-Heptachlorodiphenyl ether",O(c1c(c(c(c(c1)Cl)Cl)Cl)Cl)c2c(c(c(cc2)Cl)Cl)Cl,411.326
doxycycline,N(C4C3C(C2C(c1c(c(ccc1)O)C(=O)C2=C(C3(C(=O)C(=C4O)C(=O)N)O)O)C)O)(C)C,444.44
glipizide,O=C(c1ncc(nc1)C)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,445.545
hydroxyprogesterone caproate,O=C4\C=C2/[C@]([C@H]1CC[C@@]3([C@@](OC(=O)CCCCC)(C(=O)C)CC[C@H]3[C@@H]1CC2)C)(C)CC4,428.613
"1-{2-[(2,5-Dichlorobenzyl)oxy]-2-(2,4-dichlorophenyl)ethyl}-1H-imidazole",c1cc(c(cc1Cl)Cl)C(Cn2ccnc2)OCc3cc(ccc3Cl)Cl,416.135
"6,9-difluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",FC32C(C1C(C(C(C1)C)(O)C(=O)CO)(CC2O)C)CC(C4=CC(=O)C=CC43C)F,410.457
tricresyl phosphate,P(=O)(Oc1c(cccc1C)O)(Oc2c(ccc(c2)O)C)Oc3c(cc(cc3)O)C,416.366
flumetralin,[N+](=O)([O-])c1c(c(cc(c1)C(F)(F)F)[N+](=O)[O-])N(CC)Cc2c(cccc2Cl)F,421.734
testosterone phenylacetate,O=C5\C=C4/C(C3CCC2(C(CCC2OC(=O)Cc1ccccc1)C3CC4)C)(C)CC5,406.566
"2,2',3,3',4,5,5',6'-octachlorodiphenyl ether",O(c1c(c(c(c(c1)Cl)Cl)Cl)Cl)c2c(c(cc(c2Cl)Cl)Cl)Cl,445.771
prednisolone-21-trimethylacetate,OC4(C1(C(C3C(C(C1)O)C2(C(=CC(=O)C=C2)CC3)C)CC4)C)C(=O)COC(=O)C(C)(C)C,444.568
"2,3,5,6-tetrafluoro-4-methylbenzyl 3-[(1Z)-2-chloro-3,3,3-trifluoro-1-propen-1-yl]-2,2-dimethylcyclopropanecarboxylate",FC(F)(F)C(=CC1C(C1C(=O)OCc2c(c(c(c(c2F)F)C)F)F)(C)C)Cl,418.736
monotropitoside,O1C(C(C(C(C1COC2OCC(C(C2O)O)O)O)O)O)Oc3c(cccc3)C(=O)OC,446.405
2-[4-[3-(2-chlorophenothiazin-10-yl)propyl]piperazin-1-yl]ethyl acetate,Clc1cc3c(cc1)Sc2c(cccc2)N3CCCN4CCN(CC4)CCOC(=O)C,446.016
"N-(3-bromophenyl)-7-(methoxymethyl)-7,8-dihydro-[1,4]dioxino[3,2-g]quinazolin-4-amine",c31c(cc2c(c1)OC(CO2)COC)ncnc3Nc4cc(ccc4)Br,402.248
"[9-fluoro-11-hydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] acetate",FC32C(C1C(C(C(C1)C)(OC(=O)C)C(=O)CO)(CC2O)C)CCC4=CC(=O)C=CC43C,434.504
"2,2',3,3',4,4',5,5'-octachlorobiphenyl",Clc1c(cc(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,429.772
didecyl phthalate,CCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCC,446.672
"1,1-dioxo-3-(phenylmethyl)-6-(trifluoromethyl)-3,4-dihydro-2H-benzo[e][1,2,4]thiadiazine-7-sulfonamide",FC(F)(F)c1c(cc2c(c1)NC(NS2(=O)=O)Cc3ccccc3)S(=O)(=O)N,421.422
perphenazine,Clc2cc1N(c3c(Sc1cc2)cccc3)CCCN4CCN(CCO)CC4,403.979
"1-[[4-(1,3-benzothiazol-2-yl)phenyl]methyl-ethoxyphosphoryl]pyrrolidin-2-one",N4(P(=O)(Cc1ccc(cc1)-c2sc3c(n2)cccc3)OCC)C(=O)CCC4,400.44
cholic acid,OC3C4(C(C1C(C2(C(CC1O)CC(CC2)O)C)C3)CCC4C(CCC(=O)O)C)C,408.579
trimazosin,N1(CCN(CC1)C(=O)OCC(O)(C)C)c2nc3c(c(n2)N)cc(c(c3OC)OC)OC,435.481
prednisolone acetate,OC4(C1(C(C3C(C(C1)O)C2(C(=CC(=O)C=C2)CC3)C)CC4)C)C(=O)COC(=O)C,402.487
folic acid,c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCc2cnc3c(n2)c(=O)nc([nH]3)N,441.404
Ugi product 206B(UC),O=C(CNC(=O)OC(C)(C)C)N(Cc1ccco1)C(c2ccccc2)C(=O)NC(C)(C)C,443.544
"2-amino-3-(4-hydroxy-3,5-diiodophenyl)propanoic acid",Ic1c(c(cc(c1)CC(N)C(=O)O)I)O,432.983
"4a,7a,7b,11-Tetramethyl-2,3,4,4a,5,5a,6,7,7a,7b,8,8a,10,11,12,12a,13a,14,14a,14b-icosahydro-1H-naphtho[2',3':4,5]indeno[2,1-b]pyrano[2,3-e]pyran-2-ol",CC1CC2C(CC3(C(O2)CC4C3(CCC5C4C=C6CC(CCC6(C5)C)O)C)C)OC1,414.63
diosgenin,OC2C/C1=C/CC5C(C1(C)CC2)CCC6(C4C(OC3(OCC(CC3)C)C4C)CC56)C,414.63
3-octanoyloxymethylphenytoin,N1C(C(=O)N(C1=O)COC(=O)CCCCCCC)(c2ccccc2)c3ccccc3,408.498
hydrocortisone 21-acetate,OC4(C3(C(C2C(C1(CCC(=O)C=C1CC2)C)C(C3)O)CC4)C)C(=O)COC(=O)C,404.503
"2,3,3',4,4',5,6-Heptachlorodiphenyl ether",O(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2cc(c(cc2)Cl)Cl,411.326
ethyl 2-[[(4-chloro-6-methoxypyrimidin-2-yl)-formylamino]sulfamoyl]benzoate,Clc1nc(nc(c1)OC)N(NS(=O)(=O)c2c(cccc2)C(=O)OCC)C=O,414.827
testosterone phenylbutanoate,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4=CC=CC=C4)CCC5=CC(=O)CC[C@]35C,420.593
"N-(3-iodophenyl)-7-(methoxymethyl)-7,8-dihydro-[1,4]dioxino[3,2-g]quinazolin-4-amine",c31c(cc2c(c1)OC(CO2)COC)ncnc3Nc4cc(ccc4)I,449.248
"1,2,4,5-tetrachloro-3-(2,3,5,6-tetrachlorophenyl)benzene",Clc2c(c1c(Cl)c(Cl)cc(Cl)c1Cl)c(Cl)c(Cl)cc2Cl,429.772
benfuracarb,S(N(C(C)C)CCC(=O)OCC)N(C)C(=O)Oc1c2c(ccc1)CC(O2)(C)C,410.536
triamcinolone acetonide,O=C\1\C=C5/[C@@](/C=C/1)(C)[C@]2(F)[C@H]([C@H]3[C@](C[C@@H]2O)([C@@]4(OC(O[C@@H]4C3)(C)C)C(=O)CO)C)CC5,434.504
"N,N'-[1,4-Pyrazinediylbis(2,2,2-trichloro-1,1-ethanediyl)]diformamide",C1=CN(C=CN1C(C(Cl)(Cl)Cl)NC=O)C(C(Cl)(Cl)Cl)NC=O,430.934
podophyllotoxin,COc1cc(cc(c1OC)OC)[C@@H]2c3cc4c(cc3[C@@H]([C@@H]5[C@@H]2C(=O)OC5)O)OCO4,414.41
simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,418.574
cyhalothrin,FC(F)(F)C(=CC1C(C1C(=O)OC(c2cc(ccc2)Oc3ccccc3)C#N)(C)C)Cl,449.856
"a-chlordane, cis-chlordane",ClC1(Cl)[C@]2(Cl)C(/Cl)=C(/Cl)[C@@]1(Cl)[C@@H]3[C@@H](Cl)[C@@H](Cl)C[C@H]23,409.782
"(2,5-dichloro-4-iodophenoxy)-dimethoxy-sulfanylidenephosphorane",Ic1c(cc(c(c1)Cl)OP(=S)(OC)OC)Cl,413
leptophos,Brc1c(cc(c(c1)Cl)OP(=S)(OC)c2ccccc2)Cl,412.072
"2,2',3,4,4',5,5'-Heptachlorodiphenyl ether",O(c1c(c(c(c(c1)Cl)Cl)Cl)Cl)c2c(cc(c(c2)Cl)Cl)Cl,411.326
"[2-(9-fluoro-11,17-dihydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl)-2-oxoethyl] acetate",FC32C(C1C(C(C(C1)C)(O)C(=O)COC(=O)C)(CC2O)C)CCC4=CC(=O)C=CC43C,434.504
