Compound_ID,Actual_Shift_ppm,Pred_Shift_ppm,Actual_Multiplicity,Pred_Multiplicity,Shift_Error_ppm,,,,,,,,
458,7.26322,7.29008,triplet,singlet,0.026860000000000106,,,,,,,,
458,7.3975,7.3975,singlet,singlet,0,,,,,,,,
458,7.5806,7.5806,singlet,singlet,0,,,,,,,,
458,7.74418,7.75639,triplet,singlet,0.01221,,,,,,,,
458,8.18608,8.18608,singlet,singlet,0,,,,,,,,
458,8.64262,8.64262,singlet,singlet,0,,,,,,,,
458,9.95855,9.95855,singlet,doublet,0,,,,,,,,
459,1.01563,1.01563,singlet,singlet,0,,,,,,,,
459,1.32325,1.32325,doublet,doublet,0,,,,,,,,
459,1.3379,1.33546,doublet,doublet,0.00244,,,,,,,,
459,1.46241,1.50147,multiplet,doublet,0.039060000000000095,,,,,,,,
459,1.47706,1.51612,multiplet,doublet,0.03906,,,,,,,,
459,1.57471,1.56983,quartet,singlet,0.00488,,,,,,,,
459,1.91407,1.96046,multiplet,singlet,0.04639,,,,,,,,
459,2.09962,2.09962,singlet,doublet,0,,,,,,,,
459,2.14845,2.18995,triplet,doublet,0.0415,,,,,,,,
459,2.16066,2.2046,quartet,doublet,0.04394,,,,,,,,
459,2.39991,2.41945,quartet,singlet,0.01954,,,,,,,,
459,3.36183,3.3716,triplet,singlet,0.00977,,,,,,,,
459,4.27737,4.32619,quartet,singlet,0.048820000000000086,,,,,,,,
459,4.37014,4.39944,quartet,doublet,0.029300000000000104,,,,,,,,
459,4.38235,4.41164,multiplet,doublet,0.029290000000000482,,,,,,,,
459,6.10599,6.10599,singlet,singlet,0,,,,,,,,
459,6.25736,6.272,doublet,singlet,0.014639999999999986,,,,,,,,
459,7.22416,7.24125,quartet,singlet,0.017089999999999606,,,,,,,,
460,7.5684,7.5684,singlet,singlet,0,,,,,,,,
461,0.874028,0.886235,triplet,singlet,0.012206999999999968,,,,,,,,
461,1.24024,1.25733,quartet,doublet,0.01709,,,,,,,,
461,1.24756,1.26954,quartet,doublet,0.02198,,,,,,,,
461,1.76026,1.78712,quartet,singlet,0.026860000000000106,,,,,,,,
461,4.30666,4.31643,triplet,singlet,0.00977,,,,,,,,
462,2.57814,2.6172,quartet,singlet,0.039060000000000095,,,,,,,,
462,2.82472,2.81984,quartet,singlet,0.00488,,,,,,,,
462,4.57522,4.6094,doublet,singlet,0.03418,,,,,,,,
462,4.69241,4.71682,quartet,singlet,0.024410000000000487,,,,,,,,
462,5.7886,5.79104,doublet,singlet,0.00244,,,,,,,,
462,7.16556,7.18509,triplet,doublet,0.019529999999999603,,,,,,,,
462,7.17777,7.19974,quartet,triplet,0.02197,,,,,,,,
462,7.19974,7.23881,multiplet,triplet,0.039069999999999716,,,,,,,,
462,7.21439,7.25834,multiplet,doublet,0.04395,,,,,,,,
462,7.61967,7.62211,singlet,singlet,0.00244,,,,,,,,
462,8.37407,8.37407,singlet,singlet,0,,,,,,,,
463,1.74561,1.76759,quartet,singlet,0.02198,,,,,,,,
463,2.35597,2.38038,triplet,doublet,0.024410000000000043,,,,,,,,
463,2.3755,2.39259,multiplet,doublet,0.01709,,,,,,,,
463,2.66115,2.67335,triplet,singlet,0.012199999999999989,,,,,,,,
463,3.60598,3.62551,quartet,singlet,0.019529999999999603,,,,,,,,
463,3.90627,3.90627,triplet,doublet,0,,,,,,,,
463,3.91848,3.91848,triplet,doublet,0,,,,,,,,
463,6.98978,7.03373,triplet,doublet,0.04395,,,,,,,,
463,7.00443,7.04838,quartet,doublet,0.04395,,,,,,,,
463,7.17045,7.20218,triplet,singlet,0.03173,,,,,,,,
464,1.25489,1.25489,triplet,triplet,0,,,,,,,,
464,1.2671,1.26954,triplet,triplet,0.00244,,,,,,,,
464,1.28174,1.28419,triplet,triplet,0.00245,,,,,,,,
464,1.90919,1.93116,multiplet,singlet,0.021970000000000045,,,,,,,,
464,2.48048,2.49025,triplet,singlet,0.00977,,,,,,,,
464,3.25929,3.26174,doublet,doublet,0.00245,,,,,,,,
464,3.28371,3.28127,doublet,doublet,0.00244,,,,,,,,
464,3.57912,3.58644,triplet,singlet,0.00732,,,,,,,,
464,4.06984,4.08449,triplet,doublet,0.014649999999999608,,,,,,,,
464,4.08449,4.10158,quartet,doublet,0.017090000000000494,,,,,,,,
464,7.35355,7.39506,triplet,triplet,0.041509999999999714,,,,,,,,
464,7.3682,7.40726,triplet,quartet,0.039060000000000095,,,,,,,,
464,7.38041,7.42191,triplet,multiplet,0.041499999999999204,,,,,,,,
464,7.43656,7.439,triplet,quartet,0.00244,,,,,,,,
464,7.44877,7.45609,quartet,quartet,0.00732,,,,,,,,
464,7.46097,7.48539,quartet,triplet,0.02442,,,,,,,,
464,7.48783,7.50004,quartet,doublet,0.012210000000000498,,,,,,,,
464,7.87602,7.8809,quartet,triplet,0.00488,,,,,,,,
464,7.89311,7.89555,quartet,doublet,0.00244,,,,,,,,
464,7.91508,7.95414,quartet,doublet,0.039060000000000095,,,,,,,,
464,7.95902,7.97367,doublet,doublet,0.014650000000000496,,,,,,,,
465,0.742191,0.742191,singlet,singlet,0,,,,,,,,
465,0.822758,0.832524,doublet,triplet,0.009766,,,,,,,,
465,0.837407,0.861821,quartet,quartet,0.024413999999999936,,,,,,,,
465,0.864262,0.876469,triplet,quartet,0.012207000000000079,,,,,,,,
465,0.876469,0.888676,quartet,quartet,0.012206999999999968,,,,,,,,
465,0.910649,0.903325,doublet,triplet,0.007324,,,,,,,,
465,1.28419,1.25977,quartet,singlet,0.024419999999999886,,,,,,,,
465,1.29883,1.31837,multiplet,doublet,0.019540000000000113,,,,,,,,
465,1.31104,1.34034,multiplet,doublet,0.029300000000000104,,,,,,,,
465,1.46241,1.44288,multiplet,singlet,0.019530000000000047,,,,,,,,
465,1.46973,1.49171,multiplet,doublet,0.02198,,,,,,,,
465,1.48927,1.53077,multiplet,doublet,0.0415,,,,,,,,
465,1.54054,1.57471,multiplet,singlet,0.034170000000000034,,,,,,,,
465,1.58936,1.63575,multiplet,singlet,0.04639,,,,,,,,
465,1.6919,1.73829,multiplet,singlet,0.04639,,,,,,,,
465,1.80421,1.8506,multiplet,singlet,0.04639,,,,,,,,
465,2.24855,2.29737,multiplet,singlet,0.048820000000000086,,,,,,,,
465,2.35841,2.34864,triplet,singlet,0.00977,,,,,,,,
465,3.1714,3.17873,doublet,singlet,0.00733,,,,,,,,
465,3.50832,3.52541,quartet,singlet,0.01709,,,,,,,,
465,3.56203,3.60598,multiplet,doublet,0.043950000000000156,,,,,,,,
465,3.57668,3.62306,multiplet,doublet,0.04638,,,,,,,,
465,3.90871,3.90871,doublet,singlet,0,,,,,,,,
466,1.32325,1.32325,singlet,singlet,0,,,,,,,,
466,2.86867,2.86867,singlet,singlet,0,,,,,,,,
466,3.56203,3.56691,triplet,doublet,0.00488,,,,,,,,
466,3.57424,3.58156,triplet,doublet,0.00732,,,,,,,,
466,3.83547,3.83547,doublet,quartet,0,,,,,,,,
466,3.87209,3.87209,doublet,quartet,0,,,,,,,,
466,3.95998,3.96242,quartet,triplet,0.00244,,,,,,,,
466,3.96975,3.98195,quartet,multiplet,0.012199999999999989,,,,,,,,
466,3.98195,3.99416,quartet,multiplet,0.012210000000000054,,,,,,,,
466,3.99416,4.00637,quartet,multiplet,0.012210000000000498,,,,,,,,
466,4.03566,4.03566,singlet,triplet,0,,,,,,,,
466,7.03617,7.03617,singlet,singlet,0,,,,,,,,
466,7.21927,7.21927,singlet,singlet,0,,,,,,,,
467,0.971685,0.969243,singlet,singlet,0.002442,,,,,,,,
467,1.16212,1.18897,multiplet,singlet,0.02685,,,,,,,,
467,1.4087,1.4087,singlet,singlet,0,,,,,,,,
467,1.69434,1.71632,triplet,singlet,0.02198,,,,,,,,
467,1.77003,1.81642,quartet,singlet,0.04639,,,,,,,,
467,1.91163,1.93604,quartet,singlet,0.024410000000000043,,,,,,,,
467,2.06056,2.10939,multiplet,quartet,0.04883,,,,,,,,
467,2.07276,2.11915,multiplet,quartet,0.04639,,,,,,,,
467,2.08497,2.1338,multiplet,multiplet,0.04883,,,,,,,,
467,2.09962,2.14845,multiplet,multiplet,0.04883,,,,,,,,
467,2.11915,2.16554,multiplet,quartet,0.04639,,,,,,,,
467,2.17286,2.2046,multiplet,doublet,0.03174,,,,,,,,
467,3.98928,3.98928,singlet,singlet,0,,,,,,,,
467,4.25783,4.27981,quartet,singlet,0.02198,,,,,,,,
467,4.84622,4.88528,doublet,singlet,0.039060000000000095,,,,,,,,
467,5.022,5.00979,doublet,singlet,0.012210000000000498,,,,,,,,
467,6.08401,6.08157,singlet,singlet,0.00244,,,,,,,,
467,6.33304,6.35013,doublet,singlet,0.017090000000000494,,,,,,,,
467,7.19486,7.20463,doublet,singlet,0.00977,,,,,,,,
468,1.95558,2.00196,multiplet,singlet,0.046379999999999866,,,,,,,,
468,2.07521,2.11915,triplet,singlet,0.043939999999999646,,,,,,,,
468,2.3047,2.35109,multiplet,triplet,0.04639,,,,,,,,
468,2.32423,2.36329,multiplet,triplet,0.039060000000000095,,,,,,,,
468,2.34132,2.3755,multiplet,triplet,0.03418,,,,,,,,
468,4.36526,4.38967,triplet,singlet,0.02441,,,,,,,,
468,4.63137,4.63137,doublet,doublet,0,,,,,,,,
468,4.64358,4.64358,doublet,doublet,0,,,,,,,,
468,6.7554,6.7554,triplet,doublet,0,,,,,,,,
468,6.76761,6.77005,triplet,doublet,0.00244,,,,,,,,
468,6.88236,6.87992,doublet,doublet,0.00244,,,,,,,,
468,6.89945,6.89701,doublet,doublet,0.00244,,,,,,,,
468,7.14847,7.14847,singlet,singlet,0,,,,,,,,
468,7.67826,7.68559,doublet,singlet,0.00733,,,,,,,,
468,7.69535,7.7393,doublet,doublet,0.04395,,,,,,,,
468,7.74662,7.75883,doublet,doublet,0.01221,,,,,,,,
468,8.22758,8.22758,singlet,singlet,0,,,,,,,,
468,9.25542,9.25542,singlet,singlet,0,,,,,,,,
469,1.34522,1.34522,singlet,triplet,0,,,,,,,,
469,1.41114,1.41114,singlet,doublet,0,,,,,,,,
469,4.02834,4.04543,triplet,singlet,0.017089999999999606,,,,,,,,
469,5.43216,5.43216,singlet,singlet,0,,,,,,,,
469,6.78958,6.78958,singlet,singlet,0,,,,,,,,
469,7.33158,7.38041,triplet,singlet,0.048830000000000595,,,,,,,,
470,3.01759,3.05666,quartet,doublet,0.039069999999999716,,,,,,,,
470,3.0298,3.0713,quartet,doublet,0.0415,,,,,,,,
470,3.24465,3.23976,triplet,singlet,0.00489,,,,,,,,
470,3.41799,3.43752,quartet,singlet,0.019530000000000047,,,,,,,,
470,6.49906,6.49906,singlet,singlet,0,,,,,,,,
470,7.55863,7.55863,singlet,singlet,0,,,,,,,,
470,7.7393,7.7393,singlet,singlet,0,,,,,,,,
470,7.9224,7.92484,doublet,doublet,0.00244,,,,,,,,
470,7.93461,7.93705,doublet,doublet,0.00244,,,,,,,,
471,0.922856,0.920415,triplet,doublet,0.002441,,,,,,,,
471,0.935063,0.94727,quartet,triplet,0.012206999999999968,,,,,,,,
471,0.949712,0.971685,quartet,doublet,0.021973,,,,,,,,
471,1.04004,1.04004,singlet,doublet,0,,,,,,,,
471,1.34766,1.39649,multiplet,singlet,0.04883,,,,,,,,
471,1.46485,1.49171,quartet,singlet,0.026860000000000106,,,,,,,,
471,1.68946,1.73829,multiplet,singlet,0.04883,,,,,,,,
471,1.7627,1.80665,multiplet,doublet,0.043950000000000156,,,,,,,,
471,1.78712,1.83595,multiplet,triplet,0.04883,,,,,,,,
471,1.81397,1.8506,multiplet,doublet,0.03663,,,,,,,,
471,2.03858,2.02638,quartet,singlet,0.012199999999999989,,,,,,,,
471,2.28517,2.32911,multiplet,singlet,0.04394,,,,,,,,
471,2.55128,2.54152,triplet,singlet,0.00976,,,,,,,,
471,3.36916,3.4009,multiplet,singlet,0.03174,,,,,,,,
471,3.60842,3.60353,quartet,singlet,0.00489,,,,,,,,
471,3.64015,3.68898,multiplet,singlet,0.04883,,,,,,,,
471,3.87453,3.90383,quartet,singlet,0.029300000000000104,,,,,,,,
471,5.34427,5.35159,doublet,singlet,0.00732,,,,,,,,
472,0.793461,0.793461,singlet,doublet,0,,,,,,,,
472,0.842289,0.847172,doublet,triplet,0.004883,,,,,,,,
472,0.854496,0.864262,doublet,triplet,0.009766,,,,,,,,
472,0.944829,0.942388,triplet,doublet,0.002441,,,,,,,,
472,0.959477,0.983892,quartet,doublet,0.024414999999999965,,,,,,,,
472,0.979009,1.00098,multiplet,doublet,0.021970999999999963,,,,,,,,
472,1.43311,1.48194,multiplet,singlet,0.04883,,,,,,,,
472,1.51856,1.56495,multiplet,singlet,0.04639,,,,,,,,
472,1.58448,1.62598,multiplet,singlet,0.0415,,,,,,,,
472,1.67725,1.71388,triplet,singlet,0.03663,,,,,,,,
472,1.78956,1.83595,multiplet,singlet,0.04639,,,,,,,,
472,1.87745,1.9214,quartet,singlet,0.043949999999999934,,,,,,,,
472,2.18995,2.23634,triplet,singlet,0.04639,,,,,,,,
472,2.50001,2.49025,triplet,singlet,0.00976,,,,,,,,
472,3.36427,3.41066,quartet,doublet,0.04639,,,,,,,,
472,3.38625,3.42531,multiplet,doublet,0.039060000000000095,,,,,,,,
472,3.49611,3.53517,multiplet,singlet,0.039060000000000095,,,,,,,,
472,4.38235,4.40432,quartet,singlet,0.02197,,,,,,,,
472,5.33938,5.33938,doublet,singlet,0,,,,,,,,
473,0.874028,0.874028,triplet,triplet,0,,,,,,,,
473,0.886235,0.886235,triplet,triplet,0,,,,,,,,
473,0.900883,0.900883,triplet,triplet,0,,,,,,,,
473,1.25489,1.26221,multiplet,doublet,0.00732,,,,,,,,
473,1.26221,1.27198,multiplet,doublet,0.00977,,,,,,,,
473,1.55274,1.56007,triplet,singlet,0.00733,,,,,,,,
473,2.29493,2.29737,triplet,doublet,0.00244,,,,,,,,
473,2.31202,2.31202,triplet,doublet,0,,,,,,,,
473,5.99124,5.99124,singlet,triplet,0,,,,,,,,
473,7.17777,7.17777,singlet,triplet,0,,,,,,,,
473,7.30472,7.32426,triplet,singlet,0.019540000000000113,,,,,,,,
473,7.32914,7.37308,triplet,triplet,0.04394,,,,,,,,
473,7.37308,7.39017,quartet,triplet,0.017090000000000494,,,,,,,,
473,7.39017,7.41215,multiplet,triplet,0.021979999999999222,,,,,,,,
474,0.971685,0.969243,singlet,singlet,0.002442,,,,,,,,
474,1.06446,1.08887,triplet,singlet,0.024410000000000043,,,,,,,,
474,1.36719,1.36719,singlet,singlet,0,,,,,,,,
474,1.6797,1.7212,multiplet,singlet,0.0415,,,,,,,,
474,1.76759,1.80665,quartet,singlet,0.039060000000000095,,,,,,,,
474,1.82862,1.87501,multiplet,singlet,0.04639,,,,,,,,
474,1.92628,1.97511,quartet,singlet,0.04883,,,,,,,,
474,2.02882,2.04347,quartet,doublet,0.014650000000000052,,,,,,,,
474,2.03858,2.05812,multiplet,triplet,0.019540000000000113,,,,,,,,
474,2.05079,2.08497,multiplet,quartet,0.03418,,,,,,,,
474,2.05812,2.10694,multiplet,quartet,0.04882,,,,,,,,
474,2.07032,2.11915,multiplet,quartet,0.04883,,,,,,,,
474,2.08253,2.13136,multiplet,triplet,0.04883,,,,,,,,
474,2.16554,2.21437,multiplet,doublet,0.04883,,,,,,,,
474,2.20216,2.24122,multiplet,doublet,0.039060000000000095,,,,,,,,
474,2.34864,2.39747,triplet,singlet,0.04883,,,,,,,,
474,3.98928,3.98928,singlet,singlet,0,,,,,,,,
474,4.3384,4.35549,quartet,singlet,0.017089999999999606,,,,,,,,
474,4.84622,4.88772,doublet,singlet,0.0415,,,,,,,,
474,5.022,5.00979,doublet,singlet,0.012210000000000498,,,,,,,,
474,5.70071,5.70071,singlet,singlet,0,,,,,,,,
475,6.77982,6.77494,doublet,multiplet,0.00488,,,,,,,,
475,6.79691,6.79203,doublet,triplet,0.00488,,,,,,,,
475,6.99711,6.99711,singlet,singlet,0,,,,,,,,
475,7.29008,7.29252,doublet,triplet,0.00244,,,,,,,,
475,7.30717,7.30961,doublet,doublet,0.00244,,,,,,,,
476,1.38184,1.38428,triplet,triplet,0.00244,,,,,,,,
476,1.39649,1.39649,triplet,triplet,0,,,,,,,,
476,1.4087,1.4087,triplet,triplet,0,,,,,,,,
476,3.95754,3.95754,singlet,singlet,0,,,,,,,,
476,4.28957,4.30178,quartet,doublet,0.01221,,,,,,,,
476,4.30178,4.31399,quartet,doublet,0.012210000000000498,,,,,,,,
476,6.15726,6.15726,singlet,singlet,0,,,,,,,,
476,7.51469,7.54398,triplet,singlet,0.029290000000000482,,,,,,,,
476,7.74662,7.76371,triplet,singlet,0.017089999999999606,,,,,,,,
476,8.01518,8.03227,triplet,singlet,0.017089999999999606,,,,,,,,
476,8.81352,8.81352,singlet,singlet,0,,,,,,,,
476,9.28471,9.28471,singlet,singlet,0,,,,,,,,
477,0.815434,0.815434,singlet,singlet,0,,,,,,,,
477,0.961919,1.00831,quartet,singlet,0.046391,,,,,,,,
477,1.15723,1.15723,singlet,doublet,0,,,,,,,,
477,1.20362,1.20118,quartet,doublet,0.00244,,,,,,,,
477,1.21583,1.21827,multiplet,doublet,0.00244,,,,,,,,
477,1.37696,1.41602,multiplet,singlet,0.039060000000000095,,,,,,,,
477,1.50147,1.54298,quartet,doublet,0.041509999999999936,,,,,,,,
477,1.521,1.55762,multiplet,doublet,0.03662,,,,,,,,
477,1.66749,1.71388,multiplet,singlet,0.04639,,,,,,,,
477,1.75782,1.80665,multiplet,singlet,0.04883,,,,,,,,
477,1.98731,2.00685,quartet,singlet,0.019540000000000113,,,,,,,,
477,2.32667,2.37062,multiplet,singlet,0.043950000000000156,,,,,,,,
477,2.59279,2.62941,quartet,triplet,0.03662,,,,,,,,
477,2.60988,2.64406,multiplet,triplet,0.03418,,,,,,,,
477,2.6172,2.65626,multiplet,triplet,0.039060000000000095,,,,,,,,
477,2.91261,2.91505,triplet,doublet,0.00244,,,,,,,,
477,2.92726,2.9297,triplet,doublet,0.00244,,,,,,,,
477,4.66067,4.65578,singlet,singlet,0.00489,,,,,,,,
477,5.72024,5.72024,singlet,singlet,0,,,,,,,,
477,7.19242,7.20463,triplet,triplet,0.01221,,,,,,,,
477,7.20707,7.22416,quartet,quartet,0.017090000000000494,,,,,,,,
477,7.2266,7.23881,multiplet,quartet,0.01221,,,,,,,,
477,7.24125,7.25101,multiplet,triplet,0.00976,,,,,,,,
478,3.37648,3.37648,singlet,singlet,0,,,,,,,,
478,3.59377,3.63283,quartet,singlet,0.03906,,,,,,,,
478,3.81594,3.8257,quartet,singlet,0.00976,,,,,,,,
478,4.13088,4.17238,quartet,singlet,0.0415,,,,,,,,
478,4.42873,4.47756,quartet,singlet,0.048830000000000595,,,,,,,,
478,7.1265,7.15824,triplet,singlet,0.03174,,,,,,,,
478,7.3975,7.3975,singlet,doublet,0,,,,,,,,
478,7.5806,7.5806,doublet,doublet,0,,,,,,,,
478,7.59281,7.59525,doublet,doublet,0.00244,,,,,,,,
478,7.97856,7.97856,singlet,singlet,0,,,,,,,,
478,8.64262,8.64262,singlet,singlet,0,,,,,,,,
478,9.75103,9.75103,singlet,singlet,0,,,,,,,,
479,7.56596,7.56596,singlet,singlet,0,,,,,,,,
480,1.18165,1.18653,doublet,triplet,0.00488,,,,,,,,
480,1.1963,1.19874,triplet,triplet,0.00244,,,,,,,,
480,1.22559,1.22559,quartet,quartet,0,,,,,,,,
480,1.24024,1.24024,triplet,doublet,0,,,,,,,,
480,1.42335,1.42335,singlet,singlet,0,,,,,,,,
480,2.60743,2.61964,triplet,singlet,0.012210000000000054,,,,,,,,
480,2.97853,2.97853,singlet,singlet,0,,,,,,,,
480,3.14455,3.14699,triplet,singlet,0.00244,,,,,,,,
480,3.15675,3.19582,quartet,doublet,0.039069999999999716,,,,,,,,
480,3.16896,3.20802,multiplet,doublet,0.03906,,,,,,,,
480,4.09426,4.11867,quartet,singlet,0.02441,,,,,,,,
480,6.9556,7.00199,triplet,singlet,0.04639,,,,,,,,
481,0.993657,0.993657,singlet,singlet,0,,,,,,,,
481,1.26954,1.26954,singlet,triplet,0,,,,,,,,
481,1.32325,1.32325,singlet,triplet,0,,,,,,,,
481,1.36964,1.33546,quartet,triplet,0.03418,,,,,,,,
481,1.50147,1.50147,singlet,doublet,0,,,,,,,,
481,1.93116,1.97022,multiplet,singlet,0.039060000000000095,,,,,,,,
481,2.26564,2.26564,quartet,doublet,0,,,,,,,,
481,2.2754,2.27784,multiplet,doublet,0.00244,,,,,,,,
481,2.37794,2.37794,quartet,singlet,0,,,,,,,,
481,3.29836,3.30812,triplet,singlet,0.00976,,,,,,,,
481,4.28713,4.33596,multiplet,singlet,0.04883,,,,,,,,
481,4.47024,4.44338,quartet,singlet,0.026860000000000106,,,,,,,,
481,4.86086,4.87063,doublet,singlet,0.00977,,,,,,,,
481,6.10599,6.10599,singlet,singlet,0,,,,,,,,
481,6.25736,6.272,doublet,singlet,0.014639999999999986,,,,,,,,
481,7.2266,7.23392,quartet,singlet,0.00732,,,,,,,,
482,6.72367,6.73343,doublet,doublet,0.00976,,,,,,,,
482,6.73343,6.74808,doublet,doublet,0.014649999999999608,,,,,,,,
482,6.814,6.80912,triplet,multiplet,0.00488,,,,,,,,
482,6.82621,6.82132,triplet,multiplet,0.00489,,,,,,,,
482,6.83841,6.83597,triplet,quartet,0.00244,,,,,,,,
482,6.96781,6.97757,doublet,doublet,0.00976,,,,,,,,
482,6.98978,7.01175,doublet,doublet,0.02197,,,,,,,,
482,7.08255,7.07767,triplet,triplet,0.00488,,,,,,,,
482,7.08988,7.08988,triplet,triplet,0,,,,,,,,
482,7.10209,7.10697,triplet,triplet,0.00488,,,,,,,,
482,8.31547,8.31791,doublet,doublet,0.00244,,,,,,,,
482,8.32524,8.32768,doublet,doublet,0.00244,,,,,,,,
483,3.32521,3.32277,doublet,singlet,0.00244,,,,,,,,
483,3.83791,3.84035,singlet,singlet,0.00244,,,,,,,,
483,5.90823,5.90823,singlet,singlet,0,,,,,,,,
483,6.20609,6.20853,singlet,singlet,0.00244,,,,,,,,
